Checked,DOI,Donor,Acceptor,Donor SMILES,Acceptor SMILES,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,Ehl_A,Eg_A,HOMO_D,LUMO_D,Ehl_D,Eg_D
YES,10.1002/aenm.201703291,PBFSF,N2200,CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=C(F)C=C(C4=CC5=C(S4)C4=C(C=C(C6=CC(F)=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O,0.83,11.95,0.61,6,-5.71,-4.02,1.69,,-5.27,-3.72,1.55,
YES,10.1002/aenm.201703291,PBBSB,N2200,CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=CC=C(C4=CC5=C(S4)C4=C(C=C(C6=CC=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O,0.73,7.81,0.52,3,-5.71,-4.02,1.69,,-5.19,-3.63,1.56,
YES,10.1002/aenm.201801209,PTB7-Th,IOTIC-2F,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)S3)C=C1,0.817,21.9,0.65,12.1,-5.34,-4.06,1.28,1.31,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201901024,PTB7-Th,3TT-CIC,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC(Cl)=C(Cl)C=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC(Cl)=C(Cl)C=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.65,26.67,0.69,11.96,-5.24,-3.95,1.29,1.23,-5.21,-3.6,1.61,1.58
YES,10.1002/adma.201706816,PTB7-Th,6TBA,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(C=C3C(=O)N(CC)C(=S)N(CC)C3=O)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.98,15.2,0.68,10.13,-5.24,-3.78,1.46,,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201801209,PTB7-Th,ITOTIC-2F,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)=C3)C=C1,0.785,7,0.61,3.7,-5.22,-4.11,1.11,1.32,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.202100839,PTB7-Th,O-IDTBCN,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(C4=CC=C(C=C(C#N)C#N)C5=NSN=C45)S2)C3(CCCCCCCC)CCCCCCCC)C2=C1C=C(C1=CC=C(C=C(C#N)C#N)C3=NSN=C13)S2,0.74,17.7,0.7,9.1,-5.8,-3.8,2,,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201901024,PTB7-Th,3TT-OCIC,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCC1=C(/C=C2\C(=O)C3=CC(Cl)=C(Cl)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC2=C1C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C2SC2=C1SC(/C=C1\C(=O)C3=CC(Cl)=C(Cl)C=C3C1=C(C#N)C#N)=C2CCCCCCCC,0.68,26.49,0.69,12.43,-5.22,-3.91,1.31,1.29,-5.21,-3.6,1.61,1.58
YES,10.1002/adfm.202102361,PTB7-Th,BTPV-4F-eC9,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCCC1=C(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCC,0.661,28.2,0.685,12.77,-5.38,-4.06,1.32,,-5.21,-3.6,1.61,1.58
YES,10.1002/adma.201707508,PTB7-Th,NOBDT,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCOC1=C2SC3=C(C2=C(OCCCCCCCC)C2=C1C1=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C3SC(/C=C2\C(=O)C3=CC=C(F)C=C3C2=C(C#N)C#N)=C1,0.77,19.16,0.7,10.26,-5.26,-3.89,1.37,1.39,-5.21,-3.6,1.61,1.58
